,codigo,bairro,valor,condominio+iptu,area,banheiros,suites,garagem,portao eletronico,DCE,salas,total de uni.,varanda,piscinas,posicao,garagem,descricao da vaga,unidade por andar,sol da manha,playground,circuito de tv,quadra de esporte,jardins,elevador,academia,hall social,sauna,salao de festas,quartos,banheiros,suites,portaria permanente
35,665722,Jardim Camburi,215000.0,277.08,75.0,1,0,1,1,0,1,12,0,0, Fundo,1," coberta, privativa e livre ",4,0,1,1,1,1,0,0,0,0,1,3,1,0,1
36,648261,Mata da Praia,219090.0,0.0,24.6,1,0,1,0,0,0,0,0,1, Frente,1, ,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
37,527472,Jardim Camburi,220000.0,282.0,35.0,1,0,1,1,0,1,160,1,1, Lateral,1, estacionamento rotativo ,20,1,0,1,0,1,1,1,1,0,1,1,1,0,1
38,615995,Centro,220000.0,536.89,120.0,1,0,1,0,1,1,44,0,0, Frente,1, ,4,1,0,0,0,0,1,0,0,0,0,3,1,0,1
39,639477,Praia do Canto,220000.0,757.18,78.0,1,0,1,1,0,1,8,1,0, Lateral,1, privativa e coberta ,2,0,0,0,0,0,0,0,1,0,0,2,1,0,1
40,644238,Jardim da Penha,220000.0,270.86,50.0,1,0,1,1,0,1,32,0,0, Lateral,1, rotativa e sem cobertura. ,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0
41,647639,Jardim da Penha,220000.0,1182.65,35.0,1,1,1,1,0,1,0,1,1, Lateral,1," livre, direito de uso ",0,1,0,1,0,0,1,0,1,1,0,1,1,1,1
42,647824,Santa Lúcia,220000.0,647.69,100.0,2,1,0,1,0,1,16,1,0, Lateral,0, ,4,0,0,0,0,0,0,0,0,0,0,3,2,1,1
43,654731,Praia do Canto,220000.0,380.0,39.99,1,0,1,1,0,1,231,1,0, Frente,1, coberta ,21,1,0,1,0,0,1,0,1,0,0,1,1,0,1
44,658607,Jardim Camburi,220000.0,290.0,40.0,1,0,1,1,0,1,160,1,1, Frente,1, privativa ,20,0,1,0,0,0,1,0,1,0,1,1,1,0,1
45,658053,Jardim da Penha,225000.0,175.36,60.0,2,0,1,1,0,1,8,0,0, Frente,1, rotativa e descoberta ,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0
46,664496,Jardim da Penha,225000.0,155.0,50.0,1,0,1,1,0,1,16,0,0, Frente,1, privativa descoberta ,4,1,0,0,0,0,0,0,1,0,0,2,1,0,0
47,657604,Mata da Praia,227000.0,238.04,50.0,1,0,1,0,0,1,30,0,0, Frente,1, ,10,1,0,0,0,1,0,0,0,0,0,2,1,0,0
48,382230,Praia do Canto,228000.0,0.0,45.0,1,0,0,1,0,1,28,0,0, Frente,0, ,4,0,0,1,0,0,1,0,0,0,0,1,1,0,1
49,503184,Bento Ferreira,229000.0,358.0,48.0,1,0,1,0,0,1,66,1,1, Frente,1, ,6,1,0,0,0,0,1,0,0,1,1,1,1,0,0
50,614043,Jardim Camburi,229000.0,361.0,54.0,1,0,1,1,0,1,12,1,0, Frente,1, privativa e coberta ,4,1,0,1,0,1,0,0,1,0,1,2,1,0,0
51,657122,Jardim da Penha,230000.0,200.0,50.0,1,0,1,0,0,1,12,0,0, Frente,1, livre e descoberta ,4,1,0,0,0,0,0,0,0,0,0,2,1,0,0
52,665825,Centro,230000.0,399.0,120.0,0,0,0,1,1,0,54,0,0, Fundo,0, sem vaga de garagem ,3,1,0,0,0,0,1,0,0,0,0,3,0,0,1
53,620320,Jardim Camburi,235000.0,289.0,53.0,1,0,1,1,0,1,36,0,0, Fundo,1, privativa ,3,1,1,0,0,1,0,0,1,0,1,2,1,0,0
54,633538,Jardim Camburi,235000.0,281.64,45.0,1,0,1,1,0,1,21,0,0, Frente,1, livre ,7,1,0,0,0,0,0,0,1,0,0,2,1,0,0
55,656134,Bento Ferreira,235000.0,510.0,79.0,1,0,1,0,0,1,90,0,1, Fundo,1," livre, descoberta  ",6,1,1,0,0,0,1,0,0,0,0,2,1,0,1
56,496815,Bento Ferreira,240000.0,0.0,47.54,1,0,1,1,0,1,66,1,1, Frente,1, livre ,6,0,0,0,0,1,1,0,1,1,1,1,1,0,0
57,469531,Enseada do Suá,240000.0,602.83,62.0,1,0,1,0,0,1,90,1,1, Fundo,1," privativa, coberta e solta ",6,0,1,1,1,1,1,0,0,1,1,2,1,0,1
58,622157,Maruípe,240000.0,0.0,48.0,1,1,1,1,0,1,36,1,1, Frente,1, ,6,0,1,1,0,1,1,0,0,0,1,2,1,1,0
59,654604,Jardim Camburi,240000.0,323.58,50.0,1,0,1,1,0,1,288,1,0, Frente,1, solta descoberta ,4,1,1,1,0,1,1,0,1,0,0,2,1,0,1
60,664648,Santa Terezinha,240000.0,391.5,52.0,1,0,1,0,0,1,64,1,0, Fundo,1," livre, privativa e coberta ",8,0,0,1,0,1,1,0,0,0,0,2,1,0,0
61,82142,Jardim Camburi,245000.0,60.0,72.0,1,0,1,0,0,1,12,1,0, Frente,1," privativa, coberta e livre ",4,0,0,0,0,0,0,0,1,0,0,2,1,0,0
62,583231,Bento Ferreira,245000.0,461.26,75.0,1,0,1,1,1,1,90,0,1, Frente,1, privativa/descoberta ,6,1,1,1,1,1,1,0,1,0,1,3,1,0,1
63,532618,Centro,245000.0,540.0,130.0,3,1,1,1,0,1,20,0,0, Frente,1," livre, coberta e box ",2,1,0,0,0,0,1,0,1,0,0,3,3,1,1
64,570519,Jardim da Penha,245000.0,462.0,60.0,1,0,1,1,0,1,16,0,0, Fundo,1, estacionamento ,4,1,0,0,0,0,0,0,0,0,0,2,1,0,0
65,575968,Maruípe,245000.0,172.5,89.0,1,1,0,1,1,1,6,0,0, Frente,0, ,2,1,0,0,0,0,0,0,1,0,0,2,1,1,0
66,630405,Jardim Camburi,249000.0,276.2,55.0,1,0,1,1,0,1,42,1,0, Frente,1, livre e coberta ,6,0,0,0,0,0,1,0,0,0,0,2,1,0,0
67,658877,Santa Terezinha,249000.0,312.0,50.0,1,0,1,1,0,1,60,1,0, Lateral,1," privativa, livre, coberta ",6,0,0,0,0,0,1,0,1,0,0,2,1,0,0
68,496868,Bento Ferreira,250000.0,0.0,47.54,1,0,1,1,0,1,66,1,1, Frente,1, livre ,6,0,0,0,0,1,1,0,1,1,1,1,1,0,0
69,531464,Parque Moscoso,250000.0,459.98,125.0,3,1,1,1,0,1,60,0,0, Lateral,1, privativa/coberta/livre ,4,0,0,1,0,0,1,0,1,0,1,3,3,1,1
70,594544,Morada de Camburi,250000.0,200.1,68.0,1,0,1,1,0,1,12,0,0, Lateral,1," privativa , livre e descoberta ",4,1,0,0,0,1,0,0,0,0,0,2,1,0,0
71,401445,Santa Terezinha,250000.0,425.0,52.0,1,0,1,1,0,1,54,1,0, Lateral,1," privativa, coberta e livre ",6,0,0,1,0,1,1,0,1,0,1,2,1,0,1
72,509254,Jardim da Penha,250000.0,120.0,45.0,1,0,1,1,0,1,16,0,0, Frente,1, privativa ,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0
73,540656,Bento Ferreira,250000.0,500.0,70.0,1,0,1,1,1,1,90,1,1, Frente,1, privativa ,6,0,1,1,1,1,1,0,1,1,1,2,1,0,1
74,530017,Jardim Camburi,250000.0,27.13,100.88,1,0,1,1,0,1,12,0,0, Frente,1, privativa ,4,0,0,0,0,1,0,0,1,0,0,3,1,0,0
75,590077,Jardim Camburi,250000.0,319.25,80.0,1,1,2,1,0,1,16,1,0, Frente,2, privativa ,4,1,0,1,0,0,0,0,0,0,0,3,1,1,1
76,597656,Parque Moscoso,250000.0,425.0,130.0,2,1,1,1,0,1,34,0,0, Frente,1, coletiva ,2,1,0,1,0,0,0,0,1,0,0,3,2,1,0
77,623353,Centro,250000.0,433.08,140.0,2,1,1,0,0,1,52,1,0, Fundo,1, rotativa ,4,0,0,0,0,0,0,0,0,0,0,3,2,1,0
78,640650,Jardim Camburi,250000.0,290.0,65.0,1,0,1,1,0,1,0,0,0, Fundo,1, privativa/coberta/ ,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0
79,649865,Jardim Camburi,250000.0,705.5,60.0,1,0,1,1,0,1,12,0,1, Frente,1, privativa coberta ,4,0,1,0,1,1,0,0,0,0,1,2,1,0,1
80,375636,Jardim Camburi,250000.0,413.0,55.0,1,0,1,1,0,1,54,0,0, Frente,1," solta, descoberta com projeto de cobertura aprovado pelo condomínio  ",6,0,0,1,0,1,1,0,1,0,1,2,1,0,1
81,496863,Bento Ferreira,250000.0,0.0,38.0,1,0,1,1,0,1,84,1,1, Lateral,1, privativa e coberta ,6,0,0,0,0,1,1,0,1,1,1,1,1,0,0
82,656642,Jardim da Penha,250000.0,0.0,54.0,1,0,0,1,0,1,12,0,0, Lateral,0, ,4,0,0,0,0,1,0,0,1,0,0,2,1,0,0
83,658727,Jardim da Penha,250000.0,288.12,46.0,1,0,1,0,0,1,48,1,0, Fundo,1, cobetra e privativa ,16,0,0,0,0,0,1,0,0,0,0,1,1,0,0
84,662224,Enseada do Suá,250000.0,395.0,47.0,1,0,1,1,0,1,68,1,0, Lateral,1," privativa, livre, coberta ",4,0,0,1,0,1,1,0,1,0,0,1,1,0,0
85,664723,Jardim Camburi,250000.0,264.0,58.0,1,0,1,1,0,1,40,1,0, Lateral,1," provativa, solta e coberta no térreo ",5,1,0,1,0,1,1,0,1,0,0,2,1,0,0
86,650915,Santa Terezinha,253000.0,568.2,55.0,1,0,1,1,0,1,36,0,0, Fundo,1, coberta ,4,0,0,0,0,1,1,0,1,0,1,2,1,0,0
87,180226,Jardim Camburi,255000.0,281.0,56.0,1,0,1,1,0,1,48,1,0, Frente,1," privativa, livre ",6,0,1,0,0,1,1,0,1,0,0,2,1,0,1
88,598970,Jardim Camburi,255000.0,277.7,74.0,2,0,1,1,0,1,12,1,0, Frente,1," privativa, coberta e livre ",4,1,0,0,0,0,0,0,0,0,0,2,2,0,0
89,655501,Jardim Camburi,255000.0,276.84,58.0,1,0,1,1,0,1,30,1,0, Fundo,1, privativa coberta livre  ,6,0,1,1,0,1,1,0,1,0,1,2,1,0,0
90,658795,Jardim Camburi,255000.0,317.9,55.0,1,0,1,1,0,1,42,1,0, Lateral,1, coberta ,6,1,0,0,0,0,1,0,1,0,1,2,1,0,0
91,623603,Jardim Camburi,258000.0,265.41,50.0,1,0,1,1,0,1,12,0,0, Fundo,1, privativa / livre / coberta ,4,1,0,0,0,0,0,0,0,0,0,2,1,0,0
92,585398,Jardim Camburi,259000.0,238.0,95.0,1,0,1,1,1,1,12,0,0, Frente,1," privativa, coletiva ",4,0,0,0,0,0,0,0,0,0,0,3,1,0,0
93,636242,Jardim Camburi,259000.0,436.0,55.0,1,0,1,0,0,1,42,1,0, Fundo,1, coberta ,6,0,0,1,0,1,1,0,0,0,0,2,1,0,0
94,656829,Centro,259000.0,455.85,110.0,1,0,1,0,1,1,52,0,0, Frente,1, coberta e presa ,4,1,0,1,0,0,1,0,1,0,0,3,1,0,1
95,657987,Santa Lúcia,259000.0,495.76,65.46,2,0,1,0,0,1,12,1,1, Frente,1, coberta ,2,0,0,0,0,0,1,0,1,1,0,2,2,0,0
96,666261,Jardim Camburi,259000.0,476.0,78.0,2,0,1,0,0,1,48,0,0, Frente,1, coberta ,4,1,0,0,0,1,0,0,1,0,1,3,2,0,0
97,496875,Bento Ferreira,260000.0,0.0,47.54,1,0,1,1,0,1,66,1,1, Frente,1, descoberta ,6,0,0,0,0,1,1,0,1,1,1,1,1,0,0
98,559056,Jardim Camburi,260000.0,250.0,70.0,1,0,1,1,0,1,12,0,0, Frente,1, coberta ,4,1,0,0,0,0,0,0,0,0,1,2,1,0,1
99,496886,Bento Ferreira,260000.0,380.0,47.54,1,0,1,1,0,1,66,1,1, Frente,1, livre ,6,1,0,0,0,1,1,0,1,1,1,1,1,0,0
100,538533,Jardim Camburi,260000.0,214.35,76.0,3,1,1,1,0,1,12,0,0, Fundo,1," privativa, coberta e livre ",4,0,0,1,0,1,0,0,1,0,1,3,3,1,0
101,68358,Jardim Camburi,260000.0,430.0,60.0,1,0,1,0,0,1,80,1,0, Frente,1, privativa ,8,1,0,0,0,1,1,0,0,0,1,2,1,0,1
102,632835,Jardim da Penha,260000.0,330.72,65.0,1,0,1,1,1,1,24,0,0, Lateral,1," privativa, coberta e solidaria ",4,0,0,0,0,0,0,0,0,0,0,2,1,0,0
103,665452,Jardim Camburi,260000.0,366.37,80.0,2,0,1,1,1,1,20,0,0, Fundo,1, ,4,0,0,1,0,1,0,0,1,0,0,2,2,0,0
104,596797,Santa Helena,263000.0,2.0,41.9,1,1,1,0,0,1,64,0,1, Fundo,1, livre descoberta ,8,0,0,1,0,1,1,1,1,0,1,1,1,1,0
105,571494,Jardim Camburi,264000.0,308.0,65.0,2,1,1,1,0,1,32,1,0, Fundo,1, coberta ,8,0,0,1,0,1,1,0,1,0,0,2,2,1,0
106,482571,Jardim Camburi,265000.0,373.6,55.0,1,0,1,1,0,1,54,1,0, Lateral,1, privativa ,6,1,0,1,0,1,1,0,1,0,1,2,1,0,1
107,599373,Bento Ferreira,265000.0,415.45,80.0,1,1,1,1,0,1,90,0,1, Frente,1, privativa e descoberta ,6,1,1,1,1,1,1,0,0,0,1,2,1,1,1
108,618340,Praia do Canto,265000.0,489.07,55.0,1,0,1,1,0,1,77,0,1, Fundo,1, rotativa ,7,1,0,1,0,1,1,0,1,1,1,2,1,0,1
109,624078,Jardim Camburi,265000.0,289.0,50.0,1,0,1,1,0,1,40,1,0, Lateral,1, privativa ,4,1,0,1,0,1,1,0,1,0,1,2,1,0,1
110,598946,Jardim Camburi,265000.0,319.66,55.0,1,0,1,1,0,1,54,1,0, Frente,1, coberta- privativa e livre ,6,1,0,1,0,1,1,0,1,0,1,2,1,0,1
111,632216,Praia do Canto,265000.0,401.09,110.0,2,0,1,1,0,1,12,0,0, Frente,1, coletiva / coberta ,4,1,0,0,0,1,0,0,1,0,0,3,2,0,0
112,633776,Praia do Canto,265000.0,406.46,87.0,2,1,1,0,0,1,24,0,0, Lateral,1, rotativa ,2,0,0,0,0,0,0,0,0,0,0,3,2,1,0
113,646355,Jardim Camburi,265000.0,303.0,78.0,2,0,1,1,0,1,12,0,0, Frente,1, privativa / coberta ,4,1,0,0,0,1,0,0,0,0,1,3,2,0,0
114,97067,Jardim da Penha,265000.0,386.44,65.0,1,0,1,1,1,1,12,0,0, Fundo,1, privativa e coberta ,4,1,0,0,0,1,0,0,1,0,0,2,1,0,1
115,652499,Jardim da Penha,265000.0,123.0,64.0,1,0,1,1,0,1,0,0,0, Frente,1, coletiva descoberta  ,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0
116,658221,Jardim da Penha,265000.0,350.85,70.0,2,0,1,0,0,1,8,0,0, Frente,1, vaga individual ,2,0,0,0,0,0,0,0,0,0,0,3,2,0,0
117,520195,Jardim Camburi,265000.0,331.81,74.0,1,0,1,1,1,1,16,1,0, Frente,1," coberta, privativa e livre ",4,1,0,1,0,1,0,0,0,0,0,2,1,0,0
118,571523,Jardim Camburi,268000.0,325.94,52.0,1,0,1,0,0,1,60,1,0, Fundo,1," livre, privativa e coberta. ",6,0,0,1,0,1,1,0,1,0,0,2,1,0,0
119,659241,Jardim Camburi,268000.0,329.0,55.0,1,0,1,1,0,1,54,1,0, Fundo,1, descoberta ,6,1,1,1,0,1,1,0,1,0,1,2,1,0,1
120,632071,Jardim da Penha,269000.0,326.0,70.0,1,0,1,0,0,1,12,1,0, Fundo,1, ,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0
121,654837,Jardim da Penha,269000.0,310.73,60.0,1,2,1,1,0,1,12,0,0, Frente,1, privativa coberta livre  ,4,0,0,0,0,0,0,0,1,0,0,2,1,2,0
122,595669,Parque Moscoso,270000.0,531.96,120.0,2,1,1,1,1,1,72,0,0, Frente,1, coberta-rotativa e livre ,4,1,0,0,0,0,1,0,1,0,0,3,2,1,1
123,535775,Parque Moscoso,270000.0,593.77,135.0,2,1,0,0,1,1,80,0,0, Frente,0, não tem ,8,0,0,0,0,1,1,0,0,0,0,4,2,1,1
124,567309,Praia de Santa Helena,270000.0,771.42,68.88,3,1,1,1,0,1,30,1,1, Frente,1, livre e coberta no g ,4,1,0,0,0,1,1,0,1,1,1,2,3,1,1
125,617128,Jardim Camburi,270000.0,367.0,70.0,1,0,1,1,0,1,12,0,0, Frente,1, privativa ,4,0,1,1,1,1,0,0,1,0,1,3,1,0,1
126,640279,Santa Cecília,270000.0,310.0,59.86,1,1,1,1,0,1,40,1,1, Lateral,1, vaga nº 12 pilotis descoberta ,4,1,1,0,0,1,1,1,1,1,1,2,1,1,1
127,640280,Santa Cecília,270000.0,310.0,60.32,1,1,1,0,0,1,40,1,1, Fundo,1, vaga nº 13 - pilotis ,4,1,0,0,0,1,1,0,0,1,0,2,1,1,0
128,640281,Santa Cecília,270000.0,330.0,61.19,1,1,1,1,0,1,40,1,1, Frente,1, vaga nº 14 - pilotis descoberta ,4,1,1,0,0,1,1,0,1,1,1,2,1,1,1
129,652594,Enseada do Suá,270000.0,673.71,75.0,2,0,1,1,1,1,96,1,1, Frente,1, livre ,6,0,1,1,1,1,1,0,1,1,1,2,2,0,1
130,82773,Centro,270000.0,510.0,97.34,3,1,1,1,1,1,30,0,0, Lateral,1, coberta livre ,2,1,0,0,0,1,1,0,1,0,1,3,3,1,1
131,596439,Santa Cecília,275000.0,360.0,90.0,2,0,1,1,0,1,16,0,0, Frente,1, privativa ,4,1,0,0,0,1,0,0,0,0,0,3,2,0,0
132,616093,Jardim da Penha,275000.0,0.0,75.0,1,1,1,1,0,1,12,1,0, Frente,1, rotativa ,4,0,0,0,0,0,0,0,0,0,0,2,1,1,0
133,650740,Jardim da Penha,275000.0,308.44,74.0,2,1,1,1,0,1,12,1,0, Frente,1, solidária com o vizinho. porém de fácil acesso ,4,0,0,1,0,0,0,0,0,0,0,2,2,1,0
134,665353,Jardim Camburi,275000.0,416.88,100.88,1,0,1,0,1,1,12,0,0, Frente,1, privativa coberta ,4,0,0,0,0,0,0,0,1,0,0,3,1,0,0
135,655643,Jardim Camburi,278125.0,710.0,66.08,1,1,1,0,0,1,96,1,1, Fundo,1, privativa - nº v 06 ,6,1,1,1,0,1,1,1,1,1,1,3,1,1,1
136,358459,Praia de Santa Helena,279000.0,536.18,78.0,2,0,1,1,1,1,32,0,0, Frente,1, livre e coberta. ,4,1,0,0,0,1,1,0,1,0,0,2,2,0,1
137,644282,Jardim Camburi,279000.0,539.6,55.0,1,0,1,1,0,1,80,1,1, Lateral,1, privativa e coberta. ,8,1,0,0,0,1,1,0,1,1,1,2,1,0,0
138,504908,Jardim Camburi,280000.0,0.0,52.0,1,0,1,1,0,1,18,0,0, Lateral,1, privativa e coberta ,6,0,0,0,0,0,0,0,0,0,0,2,1,0,0
139,547687,Jardim Camburi,280000.0,345.77,85.0,2,0,1,0,0,1,18,0,0, Fundo,1," privativa, coberta e livre ",6,0,0,0,0,0,0,0,0,0,0,3,2,0,0
140,549051,Jardim da Penha,280000.0,616.0,65.0,2,0,1,1,1,1,12,1,0, Frente,1, privativa ,4,1,0,1,0,1,0,0,1,0,0,2,2,0,1
141,610273,Jardim da Penha,280000.0,144.0,76.0,1,0,1,0,0,1,16,0,0, Frente,1, privativa ,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0
142,391446,Jardim Camburi,280000.0,264.15,76.0,2,0,1,1,1,1,24,0,0, Frente,1, live e coberta no térreo ,4,0,0,0,0,0,0,0,1,0,0,2,2,0,0
143,622435,Jardim Camburi,280000.0,333.0,60.0,2,1,1,1,0,1,18,0,0, Frente,1, privativa ,6,1,0,0,0,0,0,0,1,0,0,2,2,1,0
144,639198,Jardim da Penha,280000.0,183.43,70.0,2,1,1,0,1,1,0,0,0, Frente,1, ,0,1,0,0,0,1,0,0,1,0,0,3,2,1,0
145,646545,Praia de Santa Helena,280000.0,1214.8,70.0,1,1,1,1,0,1,28,1,1, Fundo,1," privativa, coberta ",4,0,0,0,0,0,1,0,0,1,1,2,1,1,1
146,649013,Jardim Camburi,280000.0,281.5,55.0,1,0,1,1,0,1,42,1,0, Frente,1," privativa, coberta. ",6,1,0,0,0,0,1,0,1,0,1,2,1,0,0
147,494313,Jardim Camburi,280000.0,290.5,70.0,2,0,1,1,0,1,12,0,0, Frente,1, coberta ,2,0,0,0,0,0,0,0,0,0,1,3,2,0,0
148,663013,Jardim da Penha,280000.0,286.77,80.0,1,1,1,1,0,1,16,1,0, Fundo,1, vaga de estacionamento não demarcada. para onde tiver vaga ,4,1,0,0,0,0,0,0,0,0,0,3,1,1,0
149,665117,Bento Ferreira,280000.0,448.03,92.0,1,0,1,1,1,1,32,0,0, Fundo,1," coberta, privativa e livre ",4,1,0,0,0,1,1,0,1,0,1,2,1,0,0
150,605052,Bento Ferreira,285000.0,202.72,110.0,2,1,0,0,0,1,9,1,0, Fundo,0, ,3,0,0,0,0,0,0,0,0,0,0,3,2,1,0
151,599897,Praia do Canto,285000.0,444.74,55.0,1,1,1,0,0,1,78,0,0, Lateral,1," livre, coberta e rodizio. ",6,1,0,1,0,0,1,0,1,0,0,1,1,1,1
152,608443,Enseada do Suá,285000.0,395.0,47.0,1,0,1,0,0,1,64,1,0, Frente,1," livre, privativa e coberta. ",4,0,0,0,0,1,1,1,1,1,0,1,1,0,0
